site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count
AR-SLu,0.0032272753205657,0.0032645713593111,0.0568091130063281,0.0571364276036854,0.9338600943020272,0.9330957478361986,0.1276862879207188,0.1305558773776363,0.035041205726889,0.0355394030860573,52
AT-Neu,0.003430668972367,0.0034300483234665,0.0585719128283093,0.0585666144101444,0.7553563416681557,0.7554006006213774,0.104686035181213,0.1048631149090468,0.0408776182240772,0.0408869447732817,52
AU-ASM,0.0020373427143563,0.0020343834567239,0.045136932930322,0.0451041401284179,0.4300364667635459,0.4308643436465317,0.1516276863934115,0.1523813579913426,0.0339237584181138,0.0340570439484954,52
AU-Cpr,0.0023881988432235,0.0023632585292153,0.0488692013769767,0.0486133575184363,-1.1248528975077874,-1.1026627441897627,0.0810663561567815,0.0815294739789451,0.0353426812638996,0.0355423826319643,52
AU-Cum,0.0005072167891709,0.0005076105065022,0.0225214739564467,0.0225302131925607,0.7224636420816615,0.7222482097921175,0.044190301148733,0.0449048169517101,0.0151356665787262,0.015354228707297,54
AU-DaP,0.0046844852690885,0.0046622618720484,0.068443299665406,0.0682807576997242,0.5355434168745405,0.5377468186277293,0.182160496646396,0.1821805198023807,0.0546477515307304,0.054589820027312,52
AU-DaS,0.0009985434328292,0.0009870236246167,0.0315997378601347,0.0314169321324776,0.6707969025776703,0.6745947910025425,0.0415272250838372,0.0413983020190767,0.0211448940017844,0.0210838186734507,52
AU-Dry,0.0026362166257299,0.0026647905593758,0.0513441002037232,0.0516216094225646,0.6504925029656314,0.6467041936394897,0.0891127686646091,0.0897973524133564,0.0392879893100239,0.0395569168640675,52
AU-Emr,0.004207377899305,0.0041326839474496,0.0648643037371484,0.0642859545114608,0.155433243794856,0.1704269120928961,0.0980070457934983,0.0967096875583296,0.0406554014280759,0.0401187730337072,52
AU-GWW,0.0037700348862413,0.003799480424997,0.0614006098197836,0.061639925575856,0.6294689150729225,0.6265749133592373,0.0887149093475213,0.0897444814086176,0.0412262709771249,0.0416113848508521,52
AU-Gin,0.0069326262753168,0.0067855278687443,0.0832623941243394,0.0823743155889281,0.8362652548547742,0.839739424549623,0.1312285983216984,0.1311642178083772,0.0570676379612407,0.056671494215966,52
AU-How,0.0012573163098501,0.0012595403248387,0.0354586563458082,0.0354900031676351,0.7350128590665841,0.7345441342368719,0.0557036069702219,0.0558657897772669,0.025116264735381,0.0251793230262091,52
AU-Lox,0.0053061726311681,0.0050379863530676,0.0728434803614443,0.0709787739614288,-0.7093047107149004,-0.6229124840817821,0.2811857267521092,0.2777578861623476,0.0548583639711829,0.0537903074724896,52
AU-RDF,0.0042915488383904,0.0043605152378108,0.0655099140465809,0.066034197487445,-6.611496037748855,-6.733814924401338,0.1548886684196744,0.1570594682523792,0.0510778461190922,0.0518212797134798,52
AU-Rig,0.0121888306928478,0.0122136895094298,0.110403037516401,0.1105155622952253,0.5029087008185797,0.5018948954961298,0.4268253424796665,0.4303505169229135,0.0917348188177669,0.0920299954352997,52
AU-Rob,0.0055307868619039,0.0053327665816178,0.0743692601946795,0.0730257939471925,0.6302362391848334,0.6434749926180229,0.1249945256858044,0.1225335323379443,0.0515260305375082,0.0505950626647197,52
AU-Stp,0.0033452650681951,0.0033441653534839,0.0578382664694848,0.0578287588789863,0.4486803090074472,0.4488615485691548,0.1267322280280825,0.1269879680884878,0.0424963974537606,0.0425573093664802,52
AU-TTE,0.0015796984902799,0.0015778717276037,0.0397454209976433,0.0397224335559106,0.1520620444350484,0.1530425995336766,0.1111133414357314,0.1107055860090229,0.0255741862035331,0.0255190295744431,52
AU-Wac,0.0037066856607982,0.0037194495701955,0.0608825562932297,0.0609872902348968,0.3069308291058286,0.304544257134841,0.0942956390856887,0.0944551983837593,0.0351367340817003,0.0352438908837485,52
AU-Whr,0.0015031745685421,0.0014954464879116,0.0387707953044838,0.0386710031924657,0.8088746956482048,0.8098573039183744,0.0724870730635536,0.0720538279676026,0.0269462431499492,0.0268011447408798,52
AU-Wom,0.0036644302589501,0.0036361308015042,0.0605345377363216,0.0603003383199814,0.8616812472476827,0.8627494475901308,0.1154883037956334,0.1152025548140289,0.0430887580488858,0.0429629967791084,52
AU-Ync,0.0023018462197895,0.0023073309420758,0.0479775595439113,0.0480346847816855,-0.7769975593339522,-0.7812316988836121,0.1096928636855402,0.1106542431707483,0.0345766591571499,0.0349825122771529,52
BE-Bra,0.0012820249294022,0.0012776874416061,0.0358053757053632,0.0357447540431626,0.6322751968915001,0.6335193239043204,0.0927596775338109,0.0923498828466969,0.0196097073433647,0.0195334028996134,52
BE-Dor,0.0023719827468313,0.00232305789058,0.0487030055215422,0.0481981108611122,0.824520478701618,0.828139944469673,0.0748055529486392,0.0749204249163465,0.0294620802738641,0.02940134981065,52
BE-Lcr,0.00304362440895,0.0031156814431452,0.0551690530003011,0.0558182895039364,0.716064525819581,0.7093424256445088,0.0922912746194492,0.0962484752397567,0.0404256852614662,0.0414208311126169,52
BE-Lon,0.0061380635297594,0.0062055517532063,0.0783457945888576,0.0787753245198412,0.4976297338933511,0.492106155225964,0.317255175358623,0.3227738908948375,0.0470500412646672,0.0476764892897361,52
BE-Maa,0.0040955492716913,0.00409435113148,0.0639964785882111,0.0639871169180175,0.6328834021529808,0.6329908009727594,0.0660339528798081,0.0664828328341938,0.0383200549891741,0.0384716421128139,52
BE-Vie,0.0025867574987726,0.0025655926730526,0.050860175960889,0.0506516798640741,0.7759797418288087,0.7778126734910078,0.0875332732117248,0.0881412217886604,0.0344691941211532,0.0347473164469929,52
BR-Npw,0.0038277089199949,0.0038442719213971,0.0618684808282451,0.0620021928757136,0.5209563508593366,0.5188834657998135,0.1332653010649301,0.1329959238856684,0.0359306993572099,0.0359403226124292,52
BR-Sa3,0.0072877430017286,0.007294682654062,0.0853682786620926,0.0854089143711713,0.717075581594683,0.7168061707359449,0.1486374679631579,0.1487797636816491,0.0551425288901756,0.0551862740166015,52
CA-ARB,0.0062512036839468,0.0062583336645183,0.0790645539034203,0.0791096306685751,0.6192977553096377,0.6188635349985729,0.3139283256956751,0.3138420923607647,0.0566998132797742,0.0566938307101018,52
CA-ARF,0.0062946719044536,0.006339938654485,0.0793389683853632,0.0796237317292092,0.6390264412014061,0.6364305791609204,0.2600001385516752,0.260761499497563,0.0608650506914949,0.0609137279662772,52
CA-DB2,0.0001466301910339,0.0001524919835736,0.0121090953846254,0.0123487644553457,-0.0848333907645548,-0.1282014599998959,0.0202783911535332,0.0207891415164944,0.0082650780237508,0.0084751963579901,52
CA-DBB,6.306118359565953e-05,6.389278263667266e-05,0.0079411072021261,0.0079932961059047,0.4775946308257417,0.4707055783333093,0.0123157775816778,0.0123362221864876,0.0049780854083315,0.0049866222023476,52
CA-Gro,0.0020245617817924,0.0020267782327805,0.0449951306453538,0.0450197538063076,0.6136169512476357,0.6131939465767524,0.0971166075854545,0.0970238751885093,0.0335366067365786,0.0335116011143123,52
CA-LP1,0.0045144451677867,0.0044885934521795,0.0671896209826095,0.0669969659923462,0.5428228153600838,0.5454408147199417,0.0981660444159354,0.0981439377078902,0.0402285807211715,0.0401208356985529,52
CA-NS1,0.0045884259162575,0.0045832646527502,0.067737920814397,0.0676998127970101,0.6849287444416299,0.685283150463039,0.108119689363637,0.1082291731002305,0.0510815691514021,0.0512112729143882,52
CA-NS2,0.0035504195380475,0.0035025859363246,0.0595853970201384,0.0591826489464996,0.690903239469407,0.6950675955908789,0.1135206225722138,0.1133032916039423,0.0439508808441843,0.0437278264767398,52
CA-NS3,0.0032462584396161,0.0032636676142325,0.0569759461493722,0.0571285183969665,0.6104820950099898,0.6083931716077675,0.1185235797021182,0.1192375474428295,0.039576927046052,0.0397411175945604,52
CA-NS4,0.0026828387302472,0.0026751543530304,0.0517961265950189,0.0517218943294852,0.6563626880351509,0.6573469584279747,0.0741326907492562,0.0743959806207494,0.0399384075780186,0.0400042542651132,52
CA-NS5,0.0056038192693638,0.0055330802962529,0.0748586619528017,0.0743846778325546,0.7052518014219795,0.7089725111543022,0.1661521329966911,0.1678491731009982,0.0554950740022345,0.0556888716344117,52
CA-NS6,0.0071618934502849,0.0071356934469891,0.0846279708505701,0.084473033845063,0.6513591735480706,0.6526345891718144,0.2406804865913498,0.243353841582288,0.0583647111300192,0.0586030182655455,52
CA-NS7,0.0036211932193839,0.003589406961467,0.0601763509975803,0.0599116596454066,0.5744816582557477,0.5782167905559717,0.1388407147820997,0.1391777040637573,0.0465478046934286,0.0466250617217158,52
CA-Oas,0.005513756816733,0.0054407568194591,0.0742546753863556,0.0737614860171565,0.6341455046918377,0.6389892760165143,0.2337397231768188,0.232000258881977,0.0551693149430728,0.0547078388495234,52
CA-Obs,0.0055686869465838,0.0055464969271253,0.0746236353080162,0.0744748073319113,0.7337330367951083,0.7347940533599363,0.1761826369696212,0.1748281188568333,0.0539037621098412,0.0536117843936693,52
CA-Qfo,0.002032701891371,0.0020193238710677,0.0450854953546155,0.0449368876433128,0.6812039548876716,0.6833020785634744,0.0598749028823956,0.0596038734791667,0.0329394812656012,0.0327943764790737,52
CA-SF1,0.0042535331899235,0.0042579550254823,0.0652191167520965,0.0652530077887778,0.7563594191472762,0.7561061382779717,0.1106740603313593,0.1108874938877652,0.0501794936243692,0.050302720280814,52
CA-SF2,0.0271461430645479,0.0316374629221475,0.164760866301886,0.1778692298351447,-0.6926039273754527,-0.9726446540450312,0.2310609746390232,0.2439059008264302,0.1103485703246873,0.1167004331848883,52
CA-SF3,0.0014039312662392,0.0013924958437644,0.0374690707949797,0.0373161606246474,0.6455705216352791,0.6484574513020354,0.0527367501548396,0.0525117649690974,0.0263804331577832,0.0262591965269337,52
CA-TP1,0.0053265193776611,0.0053288555571256,0.0729830074583198,0.0729990106585401,0.6013647804688746,0.6011899414515618,0.0850204045140854,0.0851987220520745,0.0465523039238034,0.0466174854858455,52
CA-TP4,0.0036219485610641,0.0036162387036599,0.0601826267378233,0.060135170272146,0.7001073224798953,0.700580091321398,0.089332867981191,0.0892816020437962,0.0432647362169977,0.043224974709052,52
CA-TPD,0.0035950481925976,0.0035744165129449,0.059958720738502,0.059786424152519,0.6813648075469888,0.6831934281563927,0.1166833085524193,0.1158195604096206,0.0447328776871436,0.0444682038178249,52
CH-Aws,0.0026587626865942,0.0026463144943443,0.0515631911987056,0.0514423414547231,0.6758635277739697,0.6773811183215707,0.0659194114009196,0.0661207231539436,0.0342195392923439,0.034299631596479,52
CH-Cha,0.0036301479477977,0.0036415490074956,0.0602507091061821,0.0603452484251715,0.693157968043331,0.6921942816111342,0.1056875638990373,0.1060932269332965,0.038028237363619,0.0381981955204852,52
CH-Dav,0.0004858617421668,0.0004865477922691,0.0220422717106665,0.0220578283670251,0.6733739910943626,0.6729127862136899,0.0316838312106335,0.0317322025965176,0.0151509957852351,0.0151736962794903,52
CH-Fru,0.0031378940720242,0.0031434574608128,0.056016908804612,0.0560665449337912,0.6695639545887327,0.6689781017370442,0.0942919387983717,0.09454733786408,0.0367990204902073,0.0369249850262729,52
CH-Lae,0.0016591602966577,0.001659318068709,0.0407327914174534,0.0407347280426544,0.6528784849459497,0.6528454766383303,0.0651675954973641,0.0654416989270003,0.0267983384661968,0.026899343261735,52
CH-Oe1,0.0075654906516243,0.0075445601546768,0.0869798289928435,0.0868594275520902,0.4342054499395784,0.4357707629705852,0.1885185967126258,0.1882198754175681,0.0537785413291287,0.0537022284395894,52
CH-Oe2,0.0021186155873342,0.0021167810839887,0.0460284215168654,0.0460084892600127,0.5323742408026095,0.5327791566471038,0.0610646033361815,0.0613241621828174,0.0280483686389943,0.0281451544572305,52
CN-Cha,0.0064460091236325,0.006423777906283,0.0802870420655323,0.080148474135713,0.6989003850244258,0.6999388277036065,0.1760929203850194,0.1767939902866301,0.0576904973963632,0.057851151043816,52
CN-Cng,0.0034873706193307,0.0035443397739564,0.059053963620834,0.0595343579284808,0.5967060753002134,0.5901179272472179,0.1708463205159389,0.1710500856598534,0.0373607442185606,0.0374850875785868,52
CN-Dan,0.0045853499833148,0.0045822538431839,0.0677152123478531,0.0676923470060239,0.6152036633341669,0.615463487204646,0.161533563473574,0.1614362066026302,0.0483461098474977,0.0482953261740502,52
CN-Din,0.0046872753363218,0.004691573483862,0.0684636789569614,0.0684950617479976,0.8399567863548573,0.8398100295941198,0.1145021648442291,0.1150045575515762,0.0438803469914945,0.0440099942451717,52
CN-Du2,0.002814694347015,0.0028034699184126,0.0530536930572705,0.0529478037166101,0.4875205427077712,0.489564206555206,0.1172211004525917,0.1145292388344108,0.0379647616544854,0.0372720759934634,52
CN-Du3,0.0004120016685169,0.0004681946968972,0.0202978242311085,0.0216378071184966,0.8869944812165592,0.8715816253730753,0.0507306467958311,0.0542603993778878,0.0152162910398629,0.0162776278935196,52
CN-Ha2,0.0108398285635565,0.0107886974080467,0.1041144973745568,0.1038686545982317,0.6716182525975505,0.6731672197324622,0.2139301540676975,0.2168494208771673,0.06914765898802,0.0695498882565689,52
CN-HaM,0.0132056191517854,0.0131823790693561,0.1149157045480964,0.1148145420639571,0.3784730388636657,0.3795668412551148,0.4623844405431619,0.4597616537342138,0.0841121952095225,0.0835912600457967,52
CN-Qia,0.002715393600636,0.0027788125540331,0.0521094386904716,0.0527144435049176,0.8377425719483043,0.8339529937945005,0.1010395616969835,0.104890798249069,0.0362839306276441,0.0371944726723826,52
CN-Sw2,0.0016978321107079,0.0017058266474593,0.0412047583503162,0.0413016542944635,0.0489990285294603,0.0445210756334683,0.0613867566795408,0.0615364491943819,0.0271895137193137,0.0273347059674722,52
CZ-BK1,0.0020823007014382,0.0021000208059798,0.0456322331410407,0.0458259839608479,0.7685151996171856,0.7665452944734472,0.0575660691112745,0.0581266330840897,0.0290574235301467,0.0293088668437861,52
CZ-BK2,0.0057718650262816,0.0058991219470715,0.0759727913550743,0.0768057416282896,0.5085080702268677,0.4976717548779769,0.2807949232960527,0.2790792939002649,0.0520718951072714,0.0518892721120929,52
CZ-KrP,0.003142771377613,0.0031570321724935,0.0560604261276441,0.0561874734482117,0.6379737733862745,0.6363310252704364,0.0700868218648308,0.0701110593364377,0.0367072613433491,0.0367436021462383,52
CZ-Lnz,0.0031645101576146,0.003149477742541,0.0562539790380613,0.0561202079695103,0.7472776464662173,0.7484781568540707,0.1119895420107184,0.1118196945549005,0.0417178659226609,0.041584067952061,52
CZ-RAJ,0.0030001772007831,0.0029959308510294,0.0547738733410664,0.0547350970678725,0.8434214598670842,0.8436430758586878,0.1129332219564707,0.1125042699256868,0.0377032351836172,0.0375914740127918,52
CZ-Stn,0.0023594697727897,0.0023573531635546,0.0485743736222072,0.0485525814303894,0.722498453928355,0.7227473922033719,0.1017345230186012,0.1021994921762137,0.0348912751113772,0.0350508844310606,52
CZ-wet,0.0047227360631683,0.0046652660378158,0.0687221657339784,0.0683027527835875,0.7249785833222693,0.7283252636316391,0.1462867798791987,0.1459883974234038,0.0493621082710833,0.0491218518268529,52
DE-Geb,0.0026375189227028,0.0026266092686556,0.0513567806886572,0.0512504562775361,0.5084337972933144,0.5104670783312861,0.0702213348437381,0.0707363170427429,0.0310319561083363,0.0312231873354754,52
DE-Gri,0.0025136734489298,0.0024985081779601,0.0501365480356381,0.0499850795534044,0.6669357808158958,0.6689451942249363,0.061076052007839,0.0607243563543415,0.0306438379992456,0.0305001652033128,52
DE-Hai,0.0047500574175985,0.0047767151442902,0.0689206603102332,0.0691137840397289,0.6250106509115165,0.6229061787543427,0.1741306991120589,0.1747685242035286,0.050734048948418,0.0508486077762291,52
DE-HoH,0.0028638005149013,0.0028799421847388,0.0535144888315433,0.0536650927953996,0.7672018152327569,0.7658896597883661,0.1079147330568806,0.1083545108925232,0.0391350357196654,0.0392649741438865,52
DE-Hte,0.0011170952141323,0.0011283407434013,0.0334229743459845,0.0335907836080273,0.686913371073034,0.683761603162132,0.0575846632380251,0.05793409176349,0.0231303854919205,0.0232613529855444,52
DE-Hzd,0.0022349145421144,0.002225779870171,0.0472748827826618,0.0471781715433217,0.6409216466245058,0.6423892924329797,0.0617357016955393,0.0613084446178141,0.0327592668096943,0.0325795227445982,52
DE-Kli,0.0029895731204734,0.0032176255366159,0.0546769889484914,0.0567241177685109,0.5722285457036955,0.5395970261596641,0.0975514054303182,0.0994442384821972,0.0351735277524971,0.0358284172056495,52
DE-Lkb,0.0056349710660159,0.0055840396192233,0.0750664443411031,0.0747264318646575,0.721978492775661,0.7244913783675323,0.1804554157168299,0.179257978234687,0.0520269691628258,0.0516806906826038,52
DE-Lnf,0.0047106936215785,0.0046936051039127,0.0686344929432612,0.0685098905553987,0.7751844465572088,0.7759999877206099,0.2171845742106473,0.2158834488370962,0.0509190554391943,0.0506901024799629,52
DE-Obe,0.0033945069156679,0.0034586773733642,0.0582623970985399,0.0588105209411056,0.6975759944260882,0.6918589087526312,0.1017978391633211,0.1032234531165082,0.0377743099046747,0.0382554656933264,52
DE-RuR,0.0018947566778383,0.0018953668075522,0.0435288028532638,0.0435358106339165,0.7859826795413308,0.7859137639238087,0.0505841332313665,0.0505418569886701,0.0267080623349462,0.026696424293681,52
DE-RuS,0.0056757786939373,0.0057122196587007,0.0753377640625025,0.0755792276932012,0.4115593527473197,0.4077813081743656,0.1901757781410888,0.1921913531971901,0.047492298888775,0.0479762742398311,52
DE-RuW,0.0009753060491046,0.0009742737906567,0.0312298903152838,0.0312133591697006,0.7646234884776301,0.7648726096562435,0.0501993980508468,0.0501850400314809,0.0215876242854472,0.0215763022541309,52
DE-Seh,0.014604867205512,0.0145219033021238,0.120850598697367,0.1205068599795206,0.0767003158429195,0.0819451800869366,0.458492743606759,0.4553571744152381,0.0833191622183332,0.0829855116920859,52
DE-SfN,0.0028287428155559,0.0028290358096936,0.053185926856227,0.0531886812178464,0.6770762991168795,0.6770428514839655,0.0767526897794389,0.0766324760797913,0.0356732299664791,0.0356469993634131,52
DE-Tha,0.0028654237618435,0.0028677579955453,0.0535296531078201,0.053551451852824,0.7893584670146484,0.7891868740475507,0.0855843041896486,0.0857066309309107,0.0344180455567318,0.0344579462344774,52
DK-Fou,0.0320987805995045,0.0318563032289673,0.1791613256244341,0.1784833416007424,0.4365462162435597,0.4408026019801139,0.38474519646802,0.3867341317090535,0.1039164680758164,0.1037146168905076,52
DK-Gds,0.0010614783923039,0.0010705371149204,0.0325803375105904,0.0327190634786581,0.3109180467833885,0.3050373785385482,0.1131699857033704,0.1140102135250381,0.0196819165260815,0.0198623875262843,52
DK-Skj,0.0008009245445033,0.000800306612502,0.0283006103203336,0.0282896909227031,0.6559367691204099,0.656202221942767,0.0485419810143751,0.0483989240161601,0.0153523639477234,0.0152897228775046,52
DK-Sor,0.0070522605716077,0.0103792660368588,0.0839777385478306,0.1018786829364163,0.6145459817927481,0.4327024988191554,0.1631335278537478,0.1772487063343142,0.0506031488746514,0.0551081634001129,52
